review,sentiment,sentiment_label
This movie was so bad that I am struggling to find any positives,0,negative
The worst film I have seen all year without any doubt at all,0,negative
This is hands down the worst movie I have seen in recent memory,0,negative
The world building in this movie was absolutely extraordinary,1,positive
An emotionally rich film that resonated with me on many levels,1,positive
This movie has everything a great film needs action heart humor,1,positive
A feel good movie that left me smiling for hours after watching,1,positive
The movie tried too hard to be clever but ended up being just stupid,0,negative
I thoroughly enjoyed this film from beginning to end absolutely,1,positive
This movie was absolutely amazing and I loved every moment of it,1,positive
Superb acting and a deeply emotional story well told here,1,positive
An absolute gem of a film that deserves all the praise it gets,1,positive
The production quality was shockingly bad for such a big budget film,0,negative
A captivating and well paced film that never lost my attention,1,positive
This movie made me angry at how much money was wasted making it,0,negative
I was completely blown away by this masterpiece of cinema,1,positive
This film was a total disaster from the very beginning to the end,0,negative
The worst screenplay I have encountered in my years of watching films,0,negative
The best movie of the year without any doubt whatsoever,1,positive
The performances were so natural and believable throughout the movie,1,positive
I wanted to walk out of the cinema after the first thirty minutes,0,negative
The dialogue was so unnatural that it was genuinely painful to hear,0,negative
The director did an exceptional job bringing this story to life,1,positive
A cinematic triumph that should be celebrated by all film lovers,1,positive
The ending made no sense and left me feeling angry and confused,0,negative
Outstanding direction and the cast was perfectly chosen here,1,positive
The writing was sharp witty and consistently engaging throughout,1,positive
I cannot believe this got such positive reviews it was truly awful,0,negative
The actors delivered powerful performances that were unforgettable,1,positive
A poorly made film that insults the intelligence of its audience,0,negative
A beautiful and moving story that stayed with me for days,1,positive
The visuals in this movie are some of the most stunning ever made,1,positive
Terrible pacing made this already weak film feel twice as long,0,negative
I have watched this film three times and love it more each time,1,positive
The plot went nowhere and the climax was deeply anticlimactic,0,negative
The direction was superb and the screenplay was perfectly written,1,positive
This film was a massive disappointment after all the positive hype,0,negative
The lead actor gave a completely wooden and unconvincing performance,0,negative
Such a well crafted film with attention to every tiny detail,1,positive
A truly inspiring and uplifting film that everyone should see,1,positive
This film is a rare masterpiece that comes along once in a decade,1,positive
The humor was perfectly timed and the jokes landed every time,1,positive
Excellent cinematography and the music score was breathtaking,1,positive
The supporting cast was wasted in badly written thankless roles,0,negative
Every scene was crafted with great care and artistic precision,1,positive
I laughed so hard and also cried during this wonderful film,1,positive
A boring and uninspired film that brought absolutely nothing new,0,negative
A heartwarming story about family love and friendship beautifully made,1,positive
I fell asleep twice during this incredibly boring and dull film,0,negative
Incredible visual effects combined with a gripping storyline,1,positive
This film exceeded all my expectations and I loved every scene,1,positive
Fantastic storyline with great character development throughout,1,positive
The plot twists kept me on the edge of my seat throughout,1,positive
A joyful and entertaining experience from the very first scene,1,positive
This is a must watch movie for everyone who loves great cinema,1,positive
Absolutely dreadful film that should never have been made at all,0,negative
A wonderful film that touched my heart deeply and made me cry,1,positive
Horrible script with plot holes big enough to drive a truck through,0,negative
This is the kind of movie that reminds you why you love cinema,1,positive
A deeply flawed film that failed to deliver on any of its promises,0,negative
A complete waste of money and time do not bother watching this,0,negative
This film proves that big budgets cannot compensate for bad writing,0,negative
Terrible acting and a screenplay that made absolutely no sense,0,negative
The pacing was perfect and the story never dragged at any point,1,positive
This movie was terrible and I wasted two hours of my life watching,0,negative
The comedy fell completely flat and none of the jokes were funny,0,negative
A powerful film with a message that will stay with you forever,1,positive
I found this movie to be offensive pointless and deeply boring,0,negative
The special effects were laughably bad and completely unconvincing,0,negative
A tedious and tiresome film that tested my patience to the limit,0,negative
I left the cinema feeling deeply disappointed and completely let down,0,negative
I was completely invested in every character in this amazing film,1,positive
Poor direction and the cinematography was extremely disappointing,0,negative
I cannot recommend this movie enough it is truly spectacular,1,positive
The movie lacked any originality and felt like a cheap imitation,0,negative
The plot was predictable and the dialogue was painfully bad,0,negative
The story was completely incoherent and impossible to follow at all,0,negative
This movie restored my faith in good filmmaking completely,1,positive
This was a painfully mediocre film that quickly faded from memory,0,negative
The characters were flat and completely unrelatable throughout,0,negative
The pacing was so slow that it felt like the movie would never end,0,negative
The second half of the film was even worse than the already bad first,0,negative
The lead actor gave the performance of his career in this film,1,positive
The ending was perfect and left me completely satisfied and happy,1,positive
"Brilliant performance by all the actors, truly outstanding film",1,positive
I was completely bored throughout the entire duration of this movie,0,negative
The chemistry between the leads was absolutely electric and real,1,positive
One of the best movies I have ever seen in my life,1,positive
The soundtrack perfectly complemented the mood of every scene,1,positive
I have never felt such a strong urge to turn off a movie midway,0,negative
The film had no emotional depth and left me feeling completely empty,0,negative
I cannot understand why anyone would recommend this terrible movie,0,negative
The villain was cartoonishly bad and completely lacking in menace,0,negative
The romance subplot was cringe worthy and painful to watch unfold,0,negative
Highly recommend this movie to anyone who enjoys good stories,1,positive
This movie had so much potential but failed on every single level,0,negative
The director clearly had no vision for what this film should be,0,negative
This film made me laugh cry and feel everything in between,1,positive
A chaotic mess of a movie with no clear direction or purpose,0,negative
Awful storyline with no character development whatsoever in this film,0,negative
